"","County.Name","District.Code","District.Name","grad.rate.poor","grad.rate.Eng.learners","grad.rate.all","count.poor","count.Eng.learners","count.all"
"131","Hudson",5240,"Union City School District",91.4,82.3,91.4,903,192,945
"132","Hudson",5580,"Weehawken Public School District",100,NA,99.1,52,NA,109
"133","Hudson",5670,"West New York School District",83.5,59.9,82.2,527,142,580
"134","Hunterdon",1050,"Delaware Valley Regional High School District",NA,NA,94.1,NA,NA,186
"135","Hunterdon",1376,"South Hunterdon Regional School District",77.8,NA,89.5,18,NA,76
"136","Hunterdon",2300,"Hunterdon Central Regional High School District",81.9,51.7,94.1,94,29,661
"137","Hunterdon",3660,"North Hunterdon-Voorhees Regional High School District",88.6,NA,97,35,NA,598
"138","Mercer",1245,"East Windsor Regional School District",91.4,80.5,94.6,175,41,426
"139","Mercer",1430,"Ewing Township School District",80.1,57.1,85.2,146,14,264
"140","Mercer",1950,"Hamilton Township Public School District",88.8,73.7,92.3,447,57,972
"141","Mercer",2280,"Hopewell Valley Regional School District",100,NA,96.5,16,NA,287
"142","Mercer",2580,"Lawrence Township Public School District",99,NA,99,100,NA,298
"143","Mercer",4255,"Princeton Public School District",89.5,73.3,96.2,57,15,416
"144","Mercer",5210,"Trenton Public School District",64.9,43.8,60.3,761,329,1025
"145","Mercer",5510,"Robbinsville Public School District",90.5,NA,97.5,21,NA,324
"146","Mercer",5715,"West Windsor-Plainsboro Regional School District",94.9,100,97.8,78,21,805
"147","Middlesex",750,"Carteret Public School District",93,73.1,93.2,230,26,295
"148","Middlesex",1140,"Dunellen Public School District",88.2,78.6,86.9,51,14,84
"149","Middlesex",1170,"East Brunswick Township School District",96.1,86.7,97.4,154,15,702
"150","Middlesex",1290,"Edison Township School District",90.7,70.6,94.4,323,51,1173
"151","Middlesex",2150,"Highland Park Boro School District",92.2,90,92.1,51,10,126
"152","Middlesex",3120,"Metuchen Public School District",93.3,NA,97.1,15,NA,204
"153","Middlesex",3140,"Middlesex Borough School District",94.3,90,95.1,53,10,163
"154","Middlesex",3290,"Monroe Township School District",73.1,63.6,91.4,78,11,605
"155","Middlesex",3530,"New Brunswick School District",75.9,57,73.7,614,142,646
"156","Middlesex",3620,"North Brunswick Township School District",92.4,81.8,93.7,236,33,494
"157","Middlesex",3845,"Old Bridge Township School District",94.7,85.7,95.7,188,14,695
"158","Middlesex",4090,"Perth Amboy Public School District",86,79.2,86,652,221,701
"159","Middlesex",4130,"Piscataway Township School District",88.7,70.4,93.3,248,27,550
"160","Middlesex",4660,"Sayreville School District",90.7,76.9,90.3,421,26,444
"161","Middlesex",4830,"South Amboy School District",94.7,NA,95.8,38,NA,72
"162","Middlesex",4860,"South Brunswick School District",86.6,90.9,96,142,11,772
"163","Middlesex",4910,"South Plainfield School District",83.3,NA,92.6,78,NA,283
"164","Middlesex",4920,"South River Public School District",88.5,78.6,91.7,122,28,193
"165","Middlesex",4970,"Spotswood Public School District",68.2,NA,90.8,22,NA,173
"166","Middlesex",5850,"Woodbridge Township School District",89.2,73.8,92.9,530,42,1147
