"","income","educ","cntrep_opinions","cntrep_help","contact_rep","pid3.recode","women","race.eth","age"
"347",3,5,0,0,0,2,0,3,79
"348",2,5,1,0,1,2,0,1,64
"349",1,5,1,0,1,1,1,1,70
"350",1,3,1,0,1,3,0,1,68
"351",NA,5,0,0,0,1,1,4,41
"352",2,3,0,0,0,3,1,1,50
"353",2,4,1,1,2,1,0,1,48
"354",4,6,0,0,0,3,0,1,44
"355",3,4,0,0,0,1,1,5,59
"356",1,2,0,0,0,2,1,1,72
"357",4,5,0,0,0,2,0,1,39
"358",1,2,0,0,0,1,0,1,79
"359",3,4,1,1,2,3,1,1,61
"360",1,1,0,0,0,2,0,3,35
"361",NA,6,1,0,1,2,1,1,75
"362",1,1,0,0,0,2,0,1,27
"363",1,1,1,0,1,1,1,2,36
"364",1,1,0,1,1,3,1,5,22
"365",1,5,0,0,0,1,1,2,31
"366",NA,3,0,0,0,3,0,3,18
"367",2,2,0,0,0,1,1,2,60
"368",NA,5,1,1,2,2,0,3,71
"369",4,1,0,0,0,3,1,3,52
"370",1,1,0,0,0,2,1,1,64
"371",NA,2,0,0,0,1,1,2,79
"372",1,4,0,0,0,2,1,1,92
"373",1,4,1,0,1,3,1,1,30
"374",1,2,0,0,0,1,1,2,40
"375",2,4,0,0,0,1,1,2,70
"376",1,3,0,1,1,3,1,5,42
"377",1,2,0,0,0,1,1,2,42
"378",1,2,0,0,0,1,1,1,68
"379",1,3,0,0,0,3,0,1,69
"380",1,2,0,0,0,1,1,3,42
"381",4,2,0,0,0,1,0,3,40
"382",NA,2,0,0,0,1,1,3,22
"383",1,6,0,0,0,3,1,1,70
"384",1,4,1,0,1,3,1,1,54
"385",1,5,0,0,0,3,0,3,28
"386",1,3,0,0,0,1,1,1,70
"387",2,3,1,0,1,3,0,1,65
"388",1,3,0,0,0,1,0,1,35
"389",2,3,0,0,0,2,0,1,46
"390",4,5,0,0,0,3,0,5,62
"391",2,2,1,0,1,3,1,1,56
"392",2,5,1,0,1,3,1,1,45
"393",4,6,1,1,2,2,1,1,71
"394",3,2,0,0,0,1,1,1,67
"395",1,2,0,1,1,3,0,1,53
"396",4,2,0,0,0,3,1,1,56
"397",1,5,1,0,1,1,1,1,70
"398",NA,4,0,0,0,1,1,1,72
"399",1,2,0,0,0,3,0,3,48
"400",4,5,0,0,0,1,0,1,44
"401",1,2,0,0,0,2,1,1,68
"402",NA,5,0,0,0,3,1,1,48
"403",NA,2,0,0,0,1,1,2,60
"404",2,6,0,0,0,3,1,1,51
"405",1,6,1,1,2,1,1,2,25
"406",1,5,0,0,0,3,0,1,67
"407",4,3,0,0,0,3,1,1,57
"408",1,4,0,0,0,1,0,1,57
"409",2,2,1,1,2,2,1,1,24
"410",NA,2,1,0,1,1,1,2,23
"411",1,4,0,0,0,3,0,3,27
"412",1,2,0,0,0,3,1,1,29
"413",3,6,0,0,0,3,0,1,61
"414",1,2,0,0,0,3,0,5,23
"415",1,4,0,0,0,3,1,2,24
"416",3,6,0,0,0,1,1,4,29
"417",1,6,0,0,0,1,1,2,27
"418",1,2,0,0,0,3,1,1,59
"419",1,2,0,0,0,3,1,1,67
"420",NA,2,0,0,0,2,0,1,73
"421",1,2,1,1,2,1,1,2,37
"422",2,5,1,1,2,2,0,1,69
"423",1,3,0,0,0,1,1,3,29
"424",1,2,0,0,0,3,0,2,36
"425",2,5,1,0,1,3,0,1,62
"426",1,2,1,1,2,1,1,5,43
"427",1,2,0,0,0,1,1,1,74
"428",1,2,0,0,0,2,1,1,64
"429",4,2,1,0,1,1,0,2,25
"430",3,4,0,0,0,2,1,1,36
"431",1,2,0,0,0,1,1,1,71
"432",2,3,0,0,0,3,1,1,23
"433",1,2,0,0,0,1,0,1,72
"434",2,2,0,0,0,3,1,1,33
"435",1,2,0,0,0,2,1,1,72
"436",1,3,0,0,0,2,1,1,73
"437",2,2,0,1,1,3,0,3,18
"438",1,1,0,0,0,2,1,1,25
"439",1,2,0,0,0,2,1,1,30
"440",1,2,0,0,0,3,0,1,49
"441",2,2,0,0,0,2,0,1,53
"442",1,1,0,1,1,3,1,1,56
"443",1,2,0,0,0,3,0,1,65
"444",1,2,0,0,0,2,0,3,25
"445",1,2,0,0,0,1,0,1,59
"446",4,2,1,0,1,3,1,1,65
"447",1,2,0,0,0,3,1,5,31
"448",2,2,1,1,2,3,1,1,79
"449",2,1,0,0,0,1,1,1,71
"450",NA,2,0,0,0,2,1,1,64
"451",1,2,0,0,0,1,0,2,32
"452",1,2,1,0,1,2,0,1,53
"453",1,4,1,0,1,1,0,2,31
"454",1,1,0,0,0,3,0,5,24
"455",2,3,1,1,2,3,1,4,66
"456",1,2,0,0,0,2,1,1,57
"457",4,5,0,0,0,2,0,1,65
"458",1,2,0,0,0,3,0,1,89
"459",4,5,1,0,1,3,0,1,76
"460",1,2,0,0,0,1,0,1,75
"461",2,3,0,0,0,3,0,1,69
"462",1,1,1,0,1,3,1,1,47
"463",1,2,0,0,0,3,0,1,50
"464",1,2,1,1,2,1,1,2,66
"465",1,5,0,0,0,1,0,1,61
"466",1,3,0,0,0,3,1,1,58
"467",1,2,0,0,0,1,1,1,38
"468",1,2,1,1,2,2,1,1,20
"469",1,2,0,0,0,1,1,5,29
"470",1,2,0,0,0,2,1,1,80
"471",1,1,0,0,0,2,1,1,55
"472",1,2,0,0,0,1,0,2,41
"473",1,2,0,0,0,3,1,1,81
"474",1,2,1,1,2,3,1,1,59
"475",1,2,1,0,1,1,0,2,24
"476",3,6,0,0,0,1,1,1,56
"477",1,3,1,0,1,2,1,1,63
"478",1,3,0,0,0,3,1,3,21
"479",1,2,0,0,0,3,0,1,62
"480",1,5,1,0,1,1,0,2,57
"481",1,5,0,0,0,3,0,1,25
"482",1,2,0,0,0,1,1,1,71
"483",NA,6,1,0,1,1,0,1,42
"484",NA,3,0,0,0,3,1,2,21
"485",1,2,0,1,1,1,1,3,56
"486",1,2,0,0,0,3,1,1,36
"487",2,1,1,0,1,3,0,5,65
"488",1,3,1,1,2,3,0,3,59
"489",1,5,1,1,2,2,1,3,28
"490",3,2,1,0,1,1,0,1,41
"491",1,5,1,0,1,1,0,1,29
"492",NA,2,0,0,0,2,1,1,40
"493",1,2,0,0,0,3,0,3,25
"494",2,2,0,0,0,1,0,1,69
"495",1,3,0,0,0,1,0,2,43
"496",1,2,0,1,1,1,1,2,31
"497",3,5,0,0,0,3,0,3,48
"498",2,2,0,0,0,3,0,1,70
"499",2,2,0,0,0,2,0,1,76
"500",2,3,0,0,0,2,0,2,48
"501",3,2,0,0,0,3,1,2,29
"502",1,3,0,0,0,2,0,3,37
"503",1,4,0,0,0,1,1,1,44
"504",NA,2,0,0,0,3,0,1,76
"505",2,2,0,0,0,3,0,1,52
"506",2,2,0,0,0,2,0,1,67
"507",2,3,0,0,0,3,0,3,38
"508",NA,3,1,0,1,3,0,1,20
"509",2,2,0,0,0,2,1,1,58
"510",1,2,0,0,0,3,0,3,32
